84,Midori Sour,"1 oz Midori
1 oz Vodka
1 oz Sour Mix
Top with Seltzer",Shake,Cracked Ice,Lime Wheel,Collins,
85,Mint Julep,"1.25 oz Bourbon
1 oz Simple Syrup (1:1)
3 dashes of Angostura Bitters
6-8 Mint Leaves",Shake double strain ,Cracked Ice,Mint Sprig,Julep,1. Add all the ingredients to your cocktail shaker 2. Shake & double strain over crushed ice into a julep cup (or an old fashioned glass) 3. Stir to frost up the julep cup 4. Garnish with a mint sprig
86,Mojito,"2 oz White Rum
1 oz Lime Juice
1 oz Simple Syrup (1:1)
6-8 Mint Leaves
2 oz Soda",Built,Ice Spear,Mint Sprig,Collins,
87,Monte Carlo,"2 oz Rye
0.5 oz Benedictine
1 dash Angostura Bitters",Stir,On the Rocks,,Old Fashioned,
88,Morning Glory Fizz,"2 oz Blended Scotch
0.75 oz Lemon Juice
0.75 oz Simple Syrup
1 Egg White
Absinthe Rinse
Top Seltzer",Shake,Straight Up,Orange Peel,Collins,
89,Moscow Mule,"2 oz Vodka
1 oz Lime Juice
2 oz.Ginger Syrup
~ 5 oz Seltzer",Built,Cracked Ice,Lime Wedges,Copper Mule Mug,1. Fill your copper mule mug with ice 2. Add the vodka syrup and lime juice top with seltzer/ ginger beer 3. Garnish with the spent lime wedges
90,Naked and Famous,"0.75 oz Mezcal
0.75 oz Aperol
0.75 oz Yellow Chartreuse
0.75 oz Lime Juice",Shake double strain ,Straight Up,,Coupe,
91,Navy Grog,"0.75 oz Lime Juice
0.75 oz Grapefruit Juice
0.25 oz Demerara Syrup
0.25 oz Allspice Dram
1 oz Smith and Cross Rum
1 oz Appleton Estate
1 oz English Harbour",Shake,Crushed Ice,Mint Sprig,Tiki Glass,Shake with crushed ice
92,Negroni,"1 oz Gin
1 oz Campari
1 oz Sweet Vermouth",Stir,Straight Up,Orange Twist,Cocktail Glass,
93,Negroni Bianco,"1.5 oz Junípero Gin
1.5 oz 
Luxardo Bitter Bianco 
0.75 oz Alessio Vermouth Bianco",Stir,Straight Up,Orange Twist,Coupe,1. Add all ingrediants in mixing glass and stir over ice 2. Strain into glass 3. Garnish with orange twist and maraschino cherry
94,New York Sour,"2 oz Rye Whiskey
1 oz Lemon Juice
0.5 oz Gum Syrup
0.25 oz Curcuao
1 Egg White
Float Bourdeaux",Shake,Straight Up,,Coupe,
95,Old Black Apple,"1.5 oz Jagermeister
1 oz Applejack
2 Dashes Apple Bitters",Built,On the Rocks,Orange Peel,Old Fashioned,
96,Old-Fashioned,"2 oz Bourbon
Barspoon of Maple Syrup
2 Dash of Bitters",Stir,On the Rocks,Orange Twist,Old Fashioned,
97,Painkiller,"1 oz Orange Juice
1 oz Cream of Coconut
4 oz Pineapple Juice
2 oz Rum",Shake,Cracked Ice,Nutmeg,Old Fashioned,Open Pour
98,Pall Mall,"1 oz Applejack
1 oz Rye
0.75 oz Lemon
0.75 oz Grenadine
2 Orange Slices
2 Dashes Angostura Bitters",Shake double strain ,Straight Up,,Coupe,Muddle
99,Pan Daisy,"1.5 oz Gin
0.25 oz Akvavit
0.25 oz Cointreau
0.75 oz Grapefruit Juice
0.5 oz Cinnamon Syrup
Grated Nutmeg",Shake,On the Rocks,Orange Peel,Old Fashioned,
100,Paper Plane,"1 oz Lemon Juice
1 oz Aperol
1 oz Amaro Nonino
1 oz Boubon",Shake,Straight Up,,Nick and Nora,
101,Pearl Diver,"0.75 oz Lime Juice
1 oz Orange Juice
0.75 oz Gardenia Mix
0.75 oz Demerara Rum
1.5 oz Puerto Rican Rum
0.5 oz Jamaican Rum
2 Barspoons Falernum",Shake,Cracked Ice,Palm Fronds,Tiki Glass,Open Pour
