Moscow Mule,"2 oz Vodka
1 oz Lime Juice
2 oz.Ginger Syrup
 ~ 5 oz Seltzer",Built,Cracked Ice,Lime Wedges,Copper Mule Mug,"1. Fill your copper mule mug with ice 2. Add the vodka, syrup, and lime juice, top with seltzer/ ginger beer 3. Garnish with the spent lime wedges"
Naked and Famous,".75 oz Mezcal
.75 oz Aperol
.75 oz Yellow Chartreuse
.75 oz Lime Juice","Shake, double strain ",Straight Up,,Coupe,
Navy Grog,".75 oz Lime Juice
.75 oz Grapefruit Juice
.25 oz Demerara Syrup
.25 oz Allspice Dram
1 oz Smith and Cross Rum
1 oz Appleton Estate
1 oz English Harbour",Shake,Crushed Ice,Mint Sprig,Tiki Glass,Shake with crushed ice
Negroni,"1 oz Gin
1 oz Campari
1 oz Sweet Vermouth",Stir,Straight Up,Orange Twist,Cocktail Glass,
Negroni Bianco,"1.5 oz Junípero Gin
1.5 oz 
Luxardo Bitter Bianco 
.75 oz Alessio Vermouth Bianco",Stir,Straight Up,Orange Twist,Coupe,1. Add all ingrediants in mixing glass and stir over ice 2. Strain into glass 3. Garnish with orange twist and maraschino cherry
New York Sour,"2 oz Rye Whiskey
1 oz Lemon Juice
.5 oz Gum Syrup
.25 oz Curcuao
1 Egg White
Float Bourdeaux",Shake,Straight Up,,Coupe,
Old Black Apple,"1.5 oz Jagermeister
1 oz Applejack
2 Dashes Apple Bitters",Built,On the Rocks,Orange Peel,Old Fashioned,
Old-Fashioned,"2 oz Bourbon
Barspoon of Maple Syrup
 2 Dash of Bitters",Stir,On the Rocks,Orange Twist,Old Fashioned,
Painkiller,"1 oz Orange Juice
1 oz Cream of Coconut
4 oz Pineapple Juice
2 oz Rum",Shake,Cracked Ice,Nutmeg,Old Fashioned,Open Pour
Pall Mall,"1 oz Applejack
1 oz Rye
.75 oz Lemon
.75 oz Grenadine
2 Orange Slices
2 Dashes Angostura Bitters","Shake, double strain ",Straight Up,,Coupe,Muddle
Pan Daisy,"1.5 oz Gin
.25 oz Akvavit
.25 oz Cointreau
.75 oz Grapefruit Juice
.5 oz Cinnamon Syrup
Grated Nutmeg",Shake,On the Rocks,Orange Peel,Old Fashioned,
Paper Plane,"1 oz Lemon Juice
1 oz Aperol
1 oz Amaro Nonino
1 oz Boubon",Shake,Straight Up,,Nick and Nora,
Pearl Diver,".75 oz Lime Juice
1 oz Orange Juice
.75 oz Gardenia Mix
.75 oz Demerara Rum
1.5 oz Puerto Rican Rum
.5 oz Jamaican Rum
2 Barspoons Falernum",Shake,Cracked Ice,Palm Fronds,Tiki Glass,Open Pour
Penicillin,"60mL Blended Scotch Whisky (2 oz)
22.5mL Fresh Lemon Juice (¾ oz)
22.5mL Honey-Ginger Syrup (¾ oz)
7.5mL Islay Whisky (¼ oz)",Shake ,On the Rocks,Candied Ginger,Old Fashioned,
Pimm’s Cup,"2 oz Pimm's #1
4 oz Lemon Soda",Built,Crushed Ice,,Collins,"Pack glass with ice. Garnish with lemons, cucumber ribbons, or any other fruits you see fit"
Pina Colada,"16 oz Ice
1.5 oz Crème of Coconut
1.5 oz Pineapple Juice
8 oz Fresh Pineapple
1.5 oz Rum",Blend,,Pineapple Wedge,Hurricane,
Pina Verde,"1.5 oz Green Chartreuse
1.5 oz Pineapple Juice
.75 oz Coconut Cream
.5 oz Lime Juice
8 oz Crushed Ice",Blend,,Mint Sprig,Tiki Glass,
Pink Squirrel,"1 oz Crème de Noyauz
1 oz Crème de Cacao
1 oz Milk",Shake,Straight Up,,Shooter,
Planter's Punch,"1 oz Lime Juice
.75 oz Demerara Syrup
. 25 oz Allspice Dram
3 oz Jamaican Rum
2 Dashes Angostura Bitters",Shake,Cracked Ice,Mint Sprig,Collins,Open pour
Poinsettia,"1 oz Cranberry Juice
.25 oz Simple Syrup
.5 oz Triple Sec
Top with Champagne",Stir,Straight Up,Orange Twist,Nick and Nora,
Queen’s Park Swizzle,".5 oz Lime Juice
 .5 oz Demerara Syrup
 2 Dashes of Angostura Bitters
 2 oz Blended Black Rum
 Swizzle over Crushed Ice Barspoon
 Float of Grenadine",Built,Crushed Ice,Mint Sprig,Collins,
Ramos Gin Fizz,"2 oz Gin
 .25 oz Simple Syrup
 .75 ozLemon Juice
 .75 oz Lime Juice
 1 oz Heavy Cream
 3 Drops Orange Flower Water",Shake,Straight Up,,Collins,"1. Combine all ingrediants into shaker with ice, and shake vigourously until ice is dissolved 2. Strain into glass 3. Top with seltzer"
Remember the Maine,"2 oz Rye
.75 oz Sweet Vermouth
2 tsp cherry heering liquer
.5  tsp absinthe",Stir,Straight Up,Brandied Cherry,Coupe,
Rusty Nail,"1.5 oz Scotch
.75 oz Drambuie",Stir,On the Rocks,,Old Fashioned,
Sazerac,"2 oz Rye
1 Barspoon Gomme Syrup
 3 Dashes of Peychaurd's Bitters
 1 Dash Absinthe",Stir,Straight Up,Lemon Twist,Old Fashioned,
Scandanavian Paralysis,"1.5 oz Akvavit
1.5 oz Orange Juice
1.5 oz Pineapple Juice
.5 oz Lemon Juice
.25 oz Orgeat
.25 oz Demerara Syrup
Mint Sprig",Shake,Crushed Ice,Palm Fronds,Weizen,
Scorpian Bowl,"2 oz Lime Juice
 4 oz Orange Juice
1.5 oz Demerara Syrup
2 oz Orgeat
2 oz Brandy
4 oz London Dry Gin
4 oz Aged Rum",Shake,Cracked Ice,,Scorpian Bowl,
Scotch Hi- Ball,"2 oz Scotch
4 oz Seltzer",Built,Straight Up,Lemon Twist,Collins,1. Pour seltzer and scotch into glass over an ice spear 
Sex on the Beach,"1.5 oz Vodka
.25 oz Peach Liquer
.75 oz Orange Juice
.75 oz Cranberry Juice",Built,On the Rocks,Maraschino Cherry,Hurricane,Build in layers. Add ingrediants in order. Add ice after orange juice and before cranberry juice for the layered effect
Sidecar,"1.5 oz Cognac 
.75 oz Orange Curçao
 .75 oz of Lemon Juice",Shake,Straight Up,,Coupe,Coat rim with sugar
Siesta,"1.5 oz Blaco Tequila
.5 oz Lime Juice
.5 oz Simple Syrup
.5 oz Grapefruit Juice
.5 oz Campari
2 Dashes Angostura Bitters","Shake, double strain ",Straight Up,Orange Peel,Nick and Nora,
Singapore Sling,".75 oz Lemon Juice
.25 oz Demerara Syrup
.5 oz Luxardo Sangue Morlacco
.25 oz Benedictine
1.5 oz London Dry Gin
1 Dash of Orange Bitters
1 Dash of Angostura Bitters
2 oz Seltzer",Shake,Ice Spear,Lemon Wheel,Collins,Ice Spear
Suffering Bastard,"4 oz Ginger Beer
.5 oz Lime Juice
.25 oz Demerara Syrup
1 oz London Dry Gin
1 oz Bourbon
2 Dashes Angostura Bitters",Shake,Cracked Ice,,Tiki Glass,Open Pour
Tarzan,"1 oz Gin
1 oz Campari
1.5 oz Pineapple Juice
.5 oz Simple Syrup
.5 oz Lemon Juice
Top Setlzer","Shake, double strain ",Ice Spear,Orange Peel,Collins,
Tequila Sunrise,"1.5 oz Blanco Tequila
3 oz Orange Juice
Float Grenadine",Shake,Straight Up,Orange Wheel,Collins,
The 20th Century Cocktail,".75 Lemon Juice
.5 oz Creme De Cacao
 .75 Lillet Blanc
1.5 oz London Dry Gin",Shake,Straight Up,Lemon Twist,Nick and Nora,1. Add all ingrediants into shaker with ice and shake 2. Strain into glass
The Star,"1.5 oz Applejack
1.5 oz Sweet Vermouth
3 dashes Angostura Bitters
2 Dashes Gum Syrup",Stir,Straight Up,Lemon Twist,Nick and Nora,
Tom Collins,"2 oz Gin
1 oz Lemon Juice
 .25 oz  Simple Syrup",Shake,Ice Spear,,Collins,"1. Combine all ingrediants , except the seltzer, and shake with ice 2. Strain ingrediants into glass 3. Top with seltzer"
Trident Sunrise,"2 oz Blanco Tequila
.5 oz Crème de Casis
.75 oz Lime Juice
.5 oz Grenadine
Top Seltzer","Shake, double strain ",On the Rocks,Lime Wheel,Collins,
Trinidad Sour,"1.5 oz Angostura Bitters
.5 oz Rye Whiskey
.75 oz Lemon Juice
1 oz Oregeat
",Shake,Straight Up,,Coupe,
Ulanda,".75 Triple Sec
.25 tsp Anis
1.5 oz Gin",Shake,Straight Up,,Cocktail Glass,
Vesper Martini,"3 oz London Dry Gin
1 oz Vodka
.5 oz Lillet Blanc
 2 Dashes Angostura Bitters",Stir,Straight Up,Lemon Twist,Coupe,
Ward Eight,".25 oz Grenadine
 .25 oz Orange Juice
 .5 oz Lemon Juice
 2 oz Rye",Shake,Straight Up,Cherries,Old Fashioned,1. Add the ingredients to your cocktail shaker and fill with ice 2. Shake & strain into glass 3. Top with seltzer 4. Garnish with cherries. 
Ward Eight & 1/2,".5 oz  Grenadine
.5 oz Lemon Juice
 .25 oz Blood Orange Juice
 2 oz. Rye",Shake,Straight Up,Angostura Bitters,Coupe,1. Combine all ingrediants in shaker with egg white and dry shake 2. Add ice and shake 3. Strain into glass 4. Line top with bitters
Whiskey Smash,"2 oz Bourbon
.75 Lemon Juice
.75 oz Simple Syrup (1:1)
4-6 Mint Leaves","Shake, double strain ",Cracked Ice,Mint Sprig,Old Fashioned,1. Add the ingredients to your cocktail shaker and fill with ice 2. Shake & double strain over fresh ice into a double old fashioned glass 3. Garnish with a sprig of mint
Whiskey Sour,"2 oz Rye
 .5 oz Simple Syrup
 .75 oz Lemon Juice
1 Egg White
 4 Drops Bitters",Shake,Straight Up,,Old Fashioned,1. Add all ingrediants into shaker with egg white and dry shake 2. Add ice and shake 3. Strain into glass
White Lady,"1.5 oz Gin
1 oz Cointreau
.5 oz Lemon Juice
1 Egg White","Shake, double strain ",Straight Up,,Coupe,
White Russian,"2 oz Vodka
1 oz Kahlua
1 oz Half and Half",Built,Straight Up,,Old Fashioned,Build in layers! Recipe technically calls for Smirnoff but use whatever you want.
Yellow Bird,"1 oz white rum
.5 oz lime juice,
.5 oz Galliano
.5 oz Triple Sec",Shake,Straight Up,Lime Wheel,Cocktail Glass,
Zombie ,".75 oz Lime Juice
.25 oz Grapefruit Juice
.25 oz Cinnamon Syrup
1 Teaspoon of Grenadine
.5 oz  Velvet Falernum
1.5 oz Plantation Grand Reserve Rum
1.5 oz Havana Club 7 Year Rum
1 oz Smith and Cross Rum
2 Dashes of Herbstura",Shake,Cracked Ice,Mint Sprig,Collins,
